书名,地址,作者,出版社,出版日期,价格,评分,评价
乡土中国,费孝通 , 上海人民出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
射雕英雄传（全四册）,金庸 , 生活·读书·新知三联书店 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
新名字的故事,[意] 埃莱娜·费兰特 , 人民文学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
城南旧事,林海音 文 , 中国青年出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
失踪的孩子,[意] 埃莱娜·费兰特 , 人民文学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
冰与火之歌,[美]乔治·R.R.马丁 , 重庆出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
傲慢与偏见,[英] 奥斯丁 , 人民文学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
格林童话全集,[德国]格林兄弟 , 人民文学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
黄金时代,王小波 , 花城出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
我与地坛,史铁生 , 春风文艺出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
历史深处的忧虑,林达 , 生活·读书·新知三联书店 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
无人生还,[英] 阿加莎・克里斯蒂 , 人民文学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
文学回忆录（全2册）,木心 口述 , 广西师范大学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
白鹿原,陈忠实 , 人民文学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
神雕侠侣,金庸 , 生活·读书·新知三联书店 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
史记（全十册）,司马迁 , 中华书局 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
悲惨世界（上中下）,[法] 雨果 , 人民文学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich) , 广西美术出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
许三观卖血记,余华 , 南海出版公司 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
上帝掷骰子吗,曹天元 , 辽宁教育出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
哭泣的骆驼,三毛 , 哈尔滨出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
看见,柴静 , 广西师范大学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
浪潮之巅,吴军 , 电子工业出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
卡拉马佐夫兄弟,[俄] 费奥多尔·陀思妥耶夫斯基 , 上海译文出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
灿烂千阳,[美] 卡勒德·胡赛尼 , 上海人民出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
树上的男爵,[意大利]伊塔洛·卡尔维诺 , 译林出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
邓小平时代,[美] 傅高义 , 生活·读书·新知三联书店 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
台北人,白先勇 , 广西师范大学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
人间词话,王国维 , 上海古籍出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
诗经,孔丘 编订 , 北京出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
西游记（全二册）,吴承恩 , 人民文学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
窗边的小豆豆,[日] 黑柳彻子 著 , 南海出版公司 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
永恒的终结,[美] 艾萨克·阿西莫夫 , 江苏凤凰文艺出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
我们仨,杨绛 , 生活·读书·新知三联书店 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
爱你就像爱生命,王小波 , 上海锦绣文章出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
悉达多,[德] 赫尔曼·黑塞 , 上海人民出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
巨人的陨落,[英] 肯·福莱特 , 江苏凤凰文艺出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
这些人，那些事,吴念真 , 译林出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
道德经精义,黄元吉 , 陕西人民出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼 , 四川文艺出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
教父,[美]马里奥·普佐 , 译林出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
最好的告别,[美] 阿图·葛文德（Atul Gawande） , 浙江人民出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
海子的诗,海子 , 人民文学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
你当像鸟飞往你的山,[美] 塔拉·韦斯特弗 , 南海出版公司 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
呼兰河传,萧红 , 百花文艺出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
飞鸟集,[印] 罗宾德拉纳德·泰戈尔 , 哈尔滨出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
看不见的城市,[意大利]伊塔洛·卡尔维诺 , 译林出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
鹿鼎记（全五册）,金庸 , 广州出版社 花城出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
唐诗三百首,蘅塘退士 , 中华书局 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
朝花夕拾,鲁迅 , 人民文学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
斯通纳,[美] 约翰·威廉斯 , 上海人民出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
梦里花落知多少,三毛 , 北京十月文艺出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
人生的枷锁,[英] 毛姆 , 上海译文出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
边城,沈从文 , 北岳文艺出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
罗杰疑案,[英] 阿加莎·克里斯蒂 , 人民文学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
金色梦乡,[日] 伊坂幸太郎 , 译林出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
王尔德童话,[英] 王尔德 , 译林出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
时间简史,[英] 史蒂芬·霍金 , 湖南科学技术出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
陆犯焉识,严歌苓 , 作家出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
叫魂,[美] 孔飞力 , 生活·读书·新知三联书店 上海三联书店 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
冬牧场,李娟 , 新星出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
一个陌生女人的来信,[奥] 斯台芬·茨威格 , 上海译文出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
鼠疫,(法)阿尔贝·加缪 , 上海译文出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
人生的智慧,[德] 阿图尔·叔本华 , 上海人民出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
美的历程,李泽厚 , 生活·读书·新知三联书店 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
彷徨,鲁迅 , 人民文学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
野草,鲁迅 , 人民文学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
國史大綱（上下）,錢穆 , 商務印書館 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
孩子你慢慢来,龙应台 , 生活·读书·新知三联书店 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森 , 中信出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
苏菲的世界,[挪] 乔斯坦·贾德 , 作家出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
爱的艺术,[美] 艾·弗洛姆 , 上海译文出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
我也有一个梦想,林达 , 生活·读书·新知三联书店 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
万水千山走遍,三毛 , 哈尔滨出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
送你一颗子弹,刘瑜 , 上海三联书店 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
九州·缥缈录,江南 , 人民文学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
浮生六记,（清）沈复 , 人民文学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
情书,[日] 岩井俊二 , 天津人民出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
目送,龙应台 , 生活·读书·新知三联书店 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
野火集,龙应台 , 文汇出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
